Product ID,Code,Product Name,Image URL,Created Date,CHR File Name,DP URL,Brand,DP Categories,Sub-Folders,Notes,Description,Attributes,Sales Rep,Dealer,Unit of Measure,Budgeted Cost,Actual Cost,Qty,Nested Products
14056889,*CL-1,INTELLECT WAVE,https://content.designerpages.com/assets/82412733/Wavechaircant15.jpg,2024-06-14 14:37:39 UTC,,http://designerpages.com/manufacturers/ki,KI,CHAIR - LEARNING,,,Cantilever chair with polypropylene seat and back with chrome base.,"Model #: IWC18CHPEVNG|DIMENSIONS: |Overall Width: 20 3/8""|Overall Depth: 20 1/2""|Overall Height: 32 1/4""|Seat Height: 18 1/8""|FEATURES: |Seat & Back: Molded Polypropylene|Base: Cantilever Base",,,,,,850,Everglade Shade - KI|Chrome - KI
13711420,*DSK-1,TEXT,https://content.designerpages.com/assets/80625882/textdesk.png,2024-06-14 15:08:00 UTC,,http://designerpages.com/manufacturers/virco-2,Virco,DESK - STUDENT,,,Height-adjustable desk with hard plastic top and T-base legs.,"Model #: DESK-TD2128YADJM-GRY91-GRY02|DIMENSIONS: |Width: 28""|Depth: 21 3/8""|Height: 26"" - 34""|FEATURES: |Top: Hard plastic top|Frame: Metal",,,,,,850,Grey Nebula - Virco|Silver Mist - Virco
14054179,CA-1,TENOR,https://content.designerpages.com/assets/82412609/SteelcaseTenorchair.jpg,2025-12-09 18:39:42 UTC,,http://designerpages.com/manufacturers/steelcase,Steelcase,CHAIR - ACTIVITY,,,"Plastic chair with bag hook, foot bar, and on casters.","Model #: SLCFH|DIMENSIONS: |Width: 17.625""|Depth: 21.75""|Overall Height: 32"" |Seat Height: 18""|FEATURES: |Seat & Back: Plastic seat & back. |Legs: Steel frame on casters for hard flooring.
",,,,,,72,Honey - Steelcase|Sterling Metallic - Steelcase
13890772,CA-2,EPIX,https://content.designerpages.com/assets/82410620/KeilhauerEpixplasticshellwith4legbasenoarms.png,2025-12-09 18:39:43 UTC,,http://designerpages.com/manufacturers/keilhauer,Keilhauer,CHAIR - ACTIVITY,,,Plastic shell side chair with 4-leg steel base and no arms.,"Model #: 76200-PC05|DIMENSIONS: |Width: 20""|Depth: 21.5""|Overall Height: 32"" |Seat Height: 18""|FEATURES: |Seat & Back: Plastic shell. |Legs: 4-leg steel base. 
Include glides for hard floor. ",,,,,,52,Teal - Keilhauer|Shale - Keilhauer
13890772,CA-3,EPIX,https://content.designerpages.com/assets/82410633/KeilhauerEpixformedfeltshellwith4legbasenoarms.png,2025-12-09 18:39:44 UTC,,http://designerpages.com/manufacturers/keilhauer,Keilhauer,CHAIR - ACTIVITY,,,"Side chair with a formed felt shell, no arms, and 4-leg steel base.","Model #: 76210-PC01|DIMENSIONS: |Width: 20""|Depth: 21.5""|Height: 32"" |Seat Height: 18""|FEATURES: |Seat & Back: Formed felt shell.|Legs: 4-leg steel base.
Include glides for hard floor.",,,,,,72,Silver - Keilhauer|Onyx - Keilhauer
13890772,CA-4,EPIX,https://content.designerpages.com/assets/82410634/KeilhauerEpixformedfeltshellwith4legbasewitharms.png,2025-12-09 18:39:45 UTC,,http://designerpages.com/manufacturers/keilhauer,Keilhauer,CHAIR - ACTIVITY,,,"Side chair with a formed felt shell, arms and 4-leg steel base","Model #: 76240-PC01|DIMENSIONS: |Width: 22.25""|Depth: 21.5""|Overall Height: 32"" |Seat Height: 18""|FEATURES: |Seat & Back: Formed felt shell.|Legs: 4-leg steel base.
Include glides for hard floor.",,,,,,12,Silver - Keilhauer|Onyx - Keilhauer
13890772,CA-5,EPIX,https://content.designerpages.com/assets/82410626/KeilhauerEpixplasticshellwith4legbasewitharms.png,2025-12-09 18:39:47 UTC,,http://designerpages.com/manufacturers/keilhauer,Keilhauer,CHAIR - ACTIVITY,,,"Side chair with a plastic shell, arms and 4-leg steel base.","Model #: 76230|DIMENSIONS: |Width: 22.25""|Depth: 21.5""|Height: 32"" |Seat Height: 18""|FEATURES: |Seat & Back: Plastic shell. |Legs: 4-leg steel base.
Include glides for carpet floor.",,,,,,8,Silver - Keilhauer|Teal - Keilhauer
14056896,CC-1,ALBA,https://content.designerpages.com/assets/82412741/9to5SeatingAlba.png,2025-12-09 18:39:48 UTC,,http://designerpages.com/manufacturers/9to5-seating,9 to 5 Seating,CHAIR - CONFERENCE,,Confirm textile quantities and reserve amount needed immediately.,Mid-back upholstered conference chair with arms and a five-star base with casters.,"Model #: 2450 / S3 |DIMENSIONS: |Width: 21.5""|Depth: 27.5""|Overall Height: 31.5"" - 36""|Seat Height: 16.5""|Back Width: 18""|Back Height: 16.5""|FEATURES: |Seat & Back: Upholstered seat & back.|Arm Style : Fixed wrapped around arm (A24C) - Chrome. |Controls: Swivel Tilt (S3).|Base: 27” Mid-Profile Aluminum Base (BA12P) - Polished.|Casters: Large Diameter Carpet Casters (C6) - Black.",,,,,,44,Ultraleather - Ultrafabrics|Polish Aluminum - 9 to 5 Seating
14056890,CC-2,LIMELITE,https://content.designerpages.com/assets/82412734/KILimelite4legarmcastersseatpad.png,2025-12-09 18:39:49 UTC,,http://designerpages.com/manufacturers/ki,KI,CHAIR - CONFERENCE,,Confirm textile quantities and reserve amount needed immediately.,"Conference chair with arms, an upholstered seat, and 4-leg with casters.","Model #: LL2211-PSP-CH-UCBL|DIMENSIONS: |Width: 23.5""|Depth: 20""|Overall Height: 33.25""|Seat Height: 17.5""|Arm Height: 25.5""|FEATURES: |Seat & Back: Poly shell with upholstered seat.|Arms: With arms.|Legs: 4-leg with casters for carpet flooring.",,,,,,28,Surf's Up - KI|Color Field - KnollTextiles|Chrome - KI
14056897,CD-1,BOLTON,https://content.designerpages.com/assets/82412742/AISBolton.png,2025-12-09 18:39:49 UTC,,http://designerpages.com/manufacturers/ais,AIS ,CHAIR - DESK,,Confirm textile quantities and reserve amount needed immediately.,Ergonomic high-back task chair with upholstered seat and solid mesh back.,"Model #: 4400LUMBAR|DIMENSIONS: |Width: 26""|Depth: 24""|Overall Height: 41-45""|Seat Height: 16""-20""|Arm Height: 7.5""|Lumbar Apex Height: 8""-10""|FEATURES: |Seat: Upholstered seat.|Back: High back with height adjustable lumbar support in black.|Arm: Height, depth, width, rotation arms (4D).|Mechanism: Tension Adjustable Synchro-Tilt with Seat Slider.|Base/Frame: Polymer Black base.|Casters: Hard wheel casters for carpet floors. ",,,,,,201,Solid Mesh - AIS |Article - Carnegie Fabrics|Black - AIS 
